Measure,RowIndex,X,Y,Height,Width,Image
1,0,88,305,60,87,Wagner_WWV086A_002.png
2,0,176,305,60,40,Wagner_WWV086A_002.png
3,0,216,305,60,39,Wagner_WWV086A_002.png
4,0,257,305,60,40,Wagner_WWV086A_002.png
5,0,298,305,60,40,Wagner_WWV086A_002.png
6,0,339,305,60,38,Wagner_WWV086A_002.png
7,0,377,305,60,40,Wagner_WWV086A_002.png
8,0,420,305,60,39,Wagner_WWV086A_002.png
9,0,460,305,60,40,Wagner_WWV086A_002.png
10,0,501,305,60,45,Wagner_WWV086A_002.png
11,1,32,420,63,71,Wagner_WWV086A_002.png
12,1,103,420,63,36,Wagner_WWV086A_002.png
13,1,140,420,63,35,Wagner_WWV086A_002.png
14,1,175,420,63,37,Wagner_WWV086A_002.png
15,1,213,420,63,37,Wagner_WWV086A_002.png
16,1,250,420,63,37,Wagner_WWV086A_002.png
17,1,288,420,63,56,Wagner_WWV086A_002.png
18,1,344,420,63,57,Wagner_WWV086A_002.png
19,1,402,420,63,58,Wagner_WWV086A_002.png
20,1,461,420,63,32,Wagner_WWV086A_002.png
21,1,493,420,63,54,Wagner_WWV086A_002.png
22,2,34,541,61,91,Wagner_WWV086A_002.png
23,2,126,541,61,52,Wagner_WWV086A_002.png
24,2,179,541,61,29,Wagner_WWV086A_002.png
25,2,209,541,61,61,Wagner_WWV086A_002.png
26,2,271,541,61,52,Wagner_WWV086A_002.png
27,2,324,541,61,52,Wagner_WWV086A_002.png
28,2,377,541,61,53,Wagner_WWV086A_002.png
29,2,431,541,61,57,Wagner_WWV086A_002.png
30,2,489,541,61,60,Wagner_WWV086A_002.png
31,3,36,661,62,92,Wagner_WWV086A_002.png
32,3,129,661,62,54,Wagner_WWV086A_002.png
33,3,184,661,62,58,Wagner_WWV086A_002.png
34,3,243,661,62,60,Wagner_WWV086A_002.png
35,3,304,661,62,60,Wagner_WWV086A_002.png
36,3,365,661,62,60,Wagner_WWV086A_002.png
37,3,426,661,62,63,Wagner_WWV086A_002.png
38,3,490,661,62,61,Wagner_WWV086A_002.png
39,0,47,75,66,101,Wagner_WWV086A_003.png
40,0,149,75,66,68,Wagner_WWV086A_003.png
41,0,218,75,66,66,Wagner_WWV086A_003.png
42,0,285,75,66,67,Wagner_WWV086A_003.png
43,0,352,75,66,67,Wagner_WWV086A_003.png
44,0,421,75,66,67,Wagner_WWV086A_003.png
45,0,489,75,66,69,Wagner_WWV086A_003.png
46,1,47,190,65,100,Wagner_WWV086A_003.png
47,1,148,190,65,62,Wagner_WWV086A_003.png
48,1,211,190,65,56,Wagner_WWV086A_003.png
49,1,268,190,65,71,Wagner_WWV086A_003.png
50,1,340,190,65,71,Wagner_WWV086A_003.png
51,1,412,190,65,72,Wagner_WWV086A_003.png
52,1,485,190,65,75,Wagner_WWV086A_003.png
53,2,47,309,74,103,Wagner_WWV086A_003.png
54,2,151,309,74,70,Wagner_WWV086A_003.png
